sample	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CS00030_1	0.025	NC_017592.1	1	2036867	601437	1577824	77.4633	36.7812	39.2	45.7
CS00030_1	0.05	NC_017592.1	1	2036867	1202555	1778147	87.2981	73.5436	39.2	45.7
CS00030_1	0.075	NC_017592.1	1	2036867	1801651	1861813	91.4057	110.207	39.2	45.7
CS00030_1	0.125	NC_017592.1	1	2036867	3004536	1926403	94.5768	183.801	39.2	45.7
CS00030_1	0.1	NC_017592.1	1	2036867	2402236	1902228	93.3899	146.965	39.2	45.7
CS00030_1	0.25	NC_017592.1	1	2036867	6014532	1978685	97.1436	367.979	39.2	45.7
CS00030_1	0.5	NC_017592.1	1	2036867	12025364	2003362	98.3551	735.724	39.2	45.7
CS00030_1	1	NC_017592.1	1	2036867	24045459	2015750	98.9633	1471.19	39.2	45.7
CS00031_1	0.025	NC_017592.1	1	2036867	1394562	1197543	58.7934	89.8763	39.1	56.1
CS00031_1	0.05	NC_017592.1	1	2036867	2793219	1376309	67.5699	180.052	39.1	56.1
CS00031_1	0.075	NC_017592.1	1	2036867	4186298	1470863	72.212	269.883	39.1	56.1
CS00031_1	0.125	NC_017592.1	1	2036867	6975477	1586922	77.9099	449.72	39.1	56.1
CS00031_1	0.1	NC_017592.1	1	2036867	5579767	1540579	75.6347	359.733	39.1	56.1
CS00031_1	0.25	NC_017592.1	1	2036867	13947291	1700196	83.4711	899.162	39.1	56.1
CS00031_1	0.5	NC_017592.1	1	2036867	27888003	1796018	88.1755	1797.72	39.1	56.1
CS00031_1	1	NC_017592.1	1	2036867	55785350	1856142	91.1273	3595.99	39.1	56.1
CS00032_1	0.025	NC_017592.1	1	2036867	563931	1323697	64.9869	33.9713	39.2	39.5
CS00032_1	0.05	NC_017592.1	1	2036867	1127096	1497142	73.5022	67.8949	39.2	39.6
CS00032_1	0.075	NC_017592.1	1	2036867	1691553	1575671	77.3576	101.909	39.2	39.6
CS00032_1	0.125	NC_017592.1	1	2036867	2819941	1649836	80.9987	169.933	39.2	39.6
CS00032_1	0.1	NC_017592.1	1	2036867	2256738	1621142	79.59	135.988	39.2	39.6
CS00032_1	0.25	NC_017592.1	1	2036867	5642590	1722150	84.549	340.085	39.2	39.6
CS00032_1	0.5	NC_017592.1	1	2036867	11287662	1779622	87.3706	680.301	39.2	39.6
CS00032_1	1	NC_017592.1	1	2036867	22581867	1821371	89.4202	1360.97	39.2	39.6
CS00033_1	0.025	NC_017592.1	1	2036867	1469577	1328354	65.2155	96.7873	39.2	55.8
CS00033_1	0.05	NC_017592.1	1	2036867	2942763	1513828	74.3214	193.79	39.2	55.8
CS00033_1	0.075	NC_017592.1	1	2036867	4414974	1612316	79.1567	290.702	39.2	55.8
CS00033_1	0.125	NC_017592.1	1	2036867	7358111	1731640	85.0149	484.485	39.2	55.8
CS00033_1	0.1	NC_017592.1	1	2036867	5886758	1681102	82.5337	387.593	39.2	55.8
CS00033_1	0.25	NC_017592.1	1	2036867	14725689	1848639	90.7589	969.624	39.2	55.8
CS00033_1	0.5	NC_017592.1	1	2036867	29444359	1930387	94.7724	1938.86	39.2	55.8
CS00033_1	1	NC_017592.1	1	2036867	58896483	1976510	97.0368	3878.21	39.2	55.8
CS00034_1	0.025	NC_017592.1	1	2036867	915066	1706198	83.7658	57.2187	39.2	47.4
CS00034_1	0.05	NC_017592.1	1	2036867	1831456	1866579	91.6397	114.54	39.2	47.4
CS00034_1	0.075	NC_017592.1	1	2036867	2747354	1926030	94.5585	171.85	39.2	47.4
CS00034_1	0.125	NC_017592.1	1	2036867	4585583	1971622	96.7968	286.813	39.2	47.4
CS00034_1	0.1	NC_017592.1	1	2036867	3667167	1953992	95.9313	229.36	39.2	47.3
CS00034_1	0.25	NC_017592.1	1	2036867	9168088	2006254	98.4971	573.47	39.2	47.3
CS00034_1	0.5	NC_017592.1	1	2036867	18335135	2021316	99.2365	1146.83	39.2	47.3
CS00034_1	1	NC_017592.1	1	2036867	36658421	2026595	99.4957	2292.82	39.2	47.3
CS00035_1	0.025	NC_017592.1	1	2036867	1622263	1291607	63.4115	106.469	39.2	56.8
CS00035_1	0.05	NC_017592.1	1	2036867	3243400	1480748	72.6973	212.822	39.2	56.7
CS00035_1	0.075	NC_017592.1	1	2036867	4862780	1577243	77.4348	319.019	39.2	56.8
CS00035_1	0.125	NC_017592.1	1	2036867	8104119	1687190	82.8326	531.721	39.2	56.8
CS00035_1	0.1	NC_017592.1	1	2036867	6483599	1643025	80.6643	425.354	39.2	56.8
CS00035_1	0.25	NC_017592.1	1	2036867	16197511	1807274	88.7281	1062.69	39.2	56.8
CS00035_1	0.5	NC_017592.1	1	2036867	32397520	1887284	92.6562	2125.56	39.2	56.8
CS00035_1	1	NC_017592.1	1	2036867	64794903	1935376	95.0173	4251.15	39.2	56.8
CS00036_1	0.025	NC_017592.1	1	2036867	789145	1600988	78.6005	48.1876	39.2	44.3
CS00036_1	0.05	NC_017592.1	1	2036867	1576172	1771361	86.965	96.29	39.2	44.3
CS00036_1	0.075	NC_017592.1	1	2036867	2362625	1838712	90.2716	144.331	39.2	44.3
CS00036_1	0.125	NC_017592.1	1	2036867	3939106	1901165	93.3377	240.669	39.2	44.3
CS00036_1	0.1	NC_017592.1	1	2036867	3150886	1877020	92.1523	192.513	39.2	44.3
CS00036_1	0.25	NC_017592.1	1	2036867	7870770	1949008	95.6866	481.01	39.2	44.3
CS00036_1	0.5	NC_017592.1	1	2036867	15741530	1974562	96.9411	961.92	39.2	44.3
CS00036_1	1	NC_017592.1	1	2036867	31480418	1985481	97.4772	1923.75	39.2	44.3
CS00037_1	0.025	NC_017592.1	1	2036867	2564933	1463860	71.8682	165.532	39.2	56.7
CS00037_1	0.05	NC_017592.1	1	2036867	5132579	1629960	80.0229	331.23	39.2	56.7
CS00037_1	0.075	NC_017592.1	1	2036867	7699717	1715735	84.234	496.912	39.2	56.7
CS00037_1	0.125	NC_017592.1	1	2036867	12827111	1811968	88.9586	827.872	39.2	56.7
CS00037_1	0.1	NC_017592.1	1	2036867	10262213	1773214	87.056	662.32	39.2	56.7
CS00037_1	0.25	NC_017592.1	1	2036867	25661388	1906477	93.5985	1656.22	39.2	56.7
CS00037_1	0.5	NC_017592.1	1	2036867	51315469	1965692	96.5057	3311.89	39.2	56.7
CS00037_1	1	NC_017592.1	1	2036867	102636648	1999993	98.1897	6624.22	39.2	56.7
CS00038_1	0.025	NC_017592.1	1	2036867	479733	1384407	67.9675	29.1944	39.2	43.1
CS00038_1	0.05	NC_017592.1	1	2036867	958146	1623323	79.6971	58.321	39.2	43.1
CS00038_1	0.075	NC_017592.1	1	2036867	1435135	1732908	85.0771	87.3856	39.2	43.1
CS00038_1	0.125	NC_017592.1	1	2036867	2392352	1837060	90.1905	145.665	39.2	43.1
CS00038_1	0.1	NC_017592.1	1	2036867	1914440	1797985	88.2721	116.555	39.2	43.1
CS00038_1	0.25	NC_017592.1	1	2036867	4781484	1929530	94.7303	291.259	39.2	43.1
CS00038_1	0.5	NC_017592.1	1	2036867	9568079	1976704	97.0463	582.83	39.2	43.1
CS00038_1	1	NC_017592.1	1	2036867	19138609	2002622	98.3187	1165.79	39.2	43.1
CS00039_1	0.025	NC_017592.1	1	2036867	926795	1163036	57.0993	60.1064	39.1	56.4
CS00039_1	0.05	NC_017592.1	1	2036867	1854723	1337147	65.6472	120.306	39.1	56.4
CS00039_1	0.075	NC_017592.1	1	2036867	2785734	1436801	70.5398	180.702	39.1	56.4
CS00039_1	0.125	NC_017592.1	1	2036867	4642080	1552908	76.24	301.094	39.1	56.4
CS00039_1	0.1	NC_017592.1	1	2036867	3714988	1503895	73.8337	240.965	39.1	56.4
CS00039_1	0.25	NC_017592.1	1	2036867	9287378	1684578	82.7044	602.426	39.1	56.4
CS00039_1	0.5	NC_017592.1	1	2036867	18565859	1788313	87.7972	1204.05	39.1	56.4
CS00039_1	1	NC_017592.1	1	2036867	37143327	1857662	91.2019	2408.83	39.1	56.4
CS00040_1	0.025	NC_017592.1	1	2036867	627344	1481935	72.7556	38.2169	39.2	43.3
CS00040_1	0.05	NC_017592.1	1	2036867	1255488	1660515	81.523	76.4701	39.2	43.3
CS00040_1	0.075	NC_017592.1	1	2036867	1882781	1731634	85.0146	114.698	39.2	43.3
CS00040_1	0.125	NC_017592.1	1	2036867	3140962	1797497	88.2481	191.326	39.2	43.3
CS00040_1	0.1	NC_017592.1	1	2036867	2512013	1771773	86.9852	153.04	39.2	43.3
CS00040_1	0.25	NC_017592.1	1	2036867	6287849	1848530	90.7536	383.106	39.2	43.3
CS00040_1	0.5	NC_017592.1	1	2036867	12575431	1884049	92.4974	766.064	39.2	43.3
CS00040_1	1	NC_017592.1	1	2036867	25149302	1905081	93.53	1531.87	39.2	43.3
Sample_NEC_1	NEC	NC_017592.1	1	2036867	334	4908	0.240958	0.00751105	35.5	7.35
Sample_NEC_1	NEC	NC_017592.1	1	2036867	612	7677	0.376902	0.0134741	35.3	7.06
Sample_NEC_1	NEC	NC_017592.1	1	2036867	919	11911	0.584771	0.0208575	35.6	7.38
Sample_NEC_1	NEC	NC_017592.1	1	2036867	1551	17064	0.837757	0.0361982	35.6	8.34
Sample_NEC_1	NEC	NC_017592.1	1	2036867	1222	14537	0.713694	0.0284889	35.7	7.98
Sample_NEC_1	NEC	NC_017592.1	1	2036867	3092	26564	1.30416	0.0723405	35.7	8.58
Sample_NEC_1	NEC	NC_017592.1	1	2036867	6062	37808	1.85618	0.139946	35.6	8.41
Sample_NEC_1	NEC	NC_017592.1	1	2036867	12046	55734	2.73626	0.279537	35.7	8.63
Sample_NEC_2	NEC	NC_017592.1	1	2036867	483734	5256	0.258043	6.57155	38.2	0.718
Sample_NEC_2	NEC	NC_017592.1	1	2036867	965641	6564	0.32226	13.1174	38.2	0.715
Sample_NEC_2	NEC	NC_017592.1	1	2036867	1450441	7529	0.369636	19.7042	38.2	0.713
Sample_NEC_2	NEC	NC_017592.1	1	2036867	2418888	8287	0.40685	32.8638	38.2	0.712
Sample_NEC_2	NEC	NC_017592.1	1	2036867	1936587	7919	0.388783	26.3101	38.2	0.711
Sample_NEC_2	NEC	NC_017592.1	1	2036867	4838149	10072	0.494485	65.7347	38.2	0.716
Sample_NEC_2	NEC	NC_017592.1	1	2036867	9669653	12115	0.594786	131.38	38.2	0.718
Sample_NEC_2	NEC	NC_017592.1	1	2036867	19345394	16223	0.796468	235.974	38.2	0.72
SP00160	0.025	NC_017592.1	1	2036867	26396	1071934	52.6266	1.49656	39.2	56.5
SP00160	0.05	NC_017592.1	1	2036867	52286	1542264	75.7175	2.97083	39.2	56.5
SP00160	0.075	NC_017592.1	1	2036867	78074	1775054	87.1463	4.43334	39.2	56.5
SP00160	0.125	NC_017592.1	1	2036867	130253	1955494	96.005	7.38948	39.2	56.5
SP00160	0.1	NC_017592.1	1	2036867	104151	1891633	92.8697	5.9103	39.2	56.5
SP00160	0.25	NC_017592.1	1	2036867	260203	2029244	99.6257	14.7359	39.2	56.5
SP00160	0.5	NC_017592.1	1	2036867	519294	2036706	99.9921	29.4169	39.2	56.5
SP00160	1	NC_017592.1	1	2036867	1037096	2036854	99.9994	58.7473	39.2	56.5
SP00161	0.025	NC_017592.1	1	2036867	288	14623	0.717916	0.012963	39.1	54.8
SP00161	0.05	NC_017592.1	1	2036867	579	28946	1.4211	0.0264877	39.1	56
SP00161	0.075	NC_017592.1	1	2036867	827	40628	1.99463	0.0379779	39.2	56.4
SP00161	0.125	NC_017592.1	1	2036867	1314	64721	3.17748	0.0607443	39.3	56.3
SP00161	0.1	NC_017592.1	1	2036867	1072	52697	2.58716	0.049205	39.2	56.5
SP00161	0.25	NC_017592.1	1	2036867	2682	127673	6.26811	0.125306	39.3	56.7
SP00161	0.5	NC_017592.1	1	2036867	5490	237658	11.6678	0.255955	39.3	56.6
SP00161	1	NC_017592.1	1	2036867	10894	413015	20.277	0.509997	39.3	56.7
SP00162	0.025	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00162	0.05	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00162	0.075	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00162	0.125	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00162	0.1	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00162	0.25	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00162	0.5	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00162	1	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00163	0.025	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00163	0.05	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00163	0.075	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00163	0.125	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00163	0.1	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00163	0.25	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00163	0.5	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00163	1	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00164	0.025	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00164	0.05	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00164	0.075	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00164	0.125	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00164	0.1	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00164	0.25	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00164	0.5	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00164	1	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00165	0.025	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00165	0.05	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00165	0.075	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00165	0.125	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00165	0.1	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00165	0.25	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00165	0.5	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00165	1	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00166	0.025	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00166	0.05	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00166	0.075	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00166	0.125	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00166	0.1	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00166	0.25	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00166	0.5	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00166	1	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00167	0.025	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00167	0.05	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00167	0.075	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00167	0.125	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00167	0.1	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00167	0.25	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00167	0.5	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00167	1	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00168	0.025	NC_017592.1	1	2036867	11498	655286	32.1713	0.668041	39.3	57
SP00168	0.05	NC_017592.1	1	2036867	22936	1065789	52.3249	1.33726	39.2	57.1
SP00168	0.075	NC_017592.1	1	2036867	34181	1332854	65.4365	1.98999	39.3	57.1
SP00168	0.125	NC_017592.1	1	2036867	56522	1626304	79.8434	3.29295	39.2	57.1
SP00168	0.1	NC_017592.1	1	2036867	45347	1507145	73.9933	2.64255	39.2	57.1
SP00168	0.25	NC_017592.1	1	2036867	113035	1870223	91.8186	6.59126	39.2	57.1
SP00168	0.5	NC_017592.1	1	2036867	226008	1936931	95.0936	13.1802	39.2	57.1
SP00168	1	NC_017592.1	1	2036867	451689	1951121	95.7903	26.3536	39.2	57.1
SP00169	0.025	NC_017592.1	1	2036867	715	46346	2.27536	0.0384203	39.1	56.1
SP00169	0.05	NC_017592.1	1	2036867	1399	88155	4.32797	0.0746769	39.1	56.6
SP00169	0.075	NC_017592.1	1	2036867	2069	127980	6.28318	0.111179	39.2	57
SP00169	0.125	NC_017592.1	1	2036867	3431	205947	10.111	0.185416	39.2	57
SP00169	0.1	NC_017592.1	1	2036867	2694	164792	8.09046	0.145999	39.2	56.9
SP00169	0.25	NC_017592.1	1	2036867	6790	370540	18.1917	0.363481	39.2	56.9
SP00169	0.5	NC_017592.1	1	2036867	13701	646590	31.7443	0.734223	39.2	57.1
SP00169	1	NC_017592.1	1	2036867	27794	1046177	51.3621	1.48805	39.2	57.2
SP00170	0.025	NC_017592.1	1	2036867	58	3079	0.151164	0.0026526	39.3	59.7
SP00170	0.05	NC_017592.1	1	2036867	114	5986	0.293883	0.00532337	39.4	59.9
SP00170	0.075	NC_017592.1	1	2036867	182	10063	0.494043	0.00871485	39.4	59.3
SP00170	0.125	NC_017592.1	1	2036867	275	15055	0.739125	0.0130892	39.4	58.9
SP00170	0.1	NC_017592.1	1	2036867	230	12941	0.635338	0.0111888	39.3	59.2
SP00170	0.25	NC_017592.1	1	2036867	563	29137	1.43048	0.0265069	39.3	58.1
SP00170	0.5	NC_017592.1	1	2036867	1124	57036	2.80018	0.0532592	39.2	57.1
SP00170	1	NC_017592.1	1	2036867	2303	109263	5.36427	0.109543	39.3	57.1
SP00171	0.025	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00171	0.05	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00171	0.075	NC_017592.1	1	2036867	2	302	0.0148267	0.000148267	38.9	60
SP00171	0.125	NC_017592.1	1	2036867	2	302	0.0148267	0.000148267	38.9	60
SP00171	0.1	NC_017592.1	1	2036867	2	302	0.0148267	0.000148267	38.9	60
SP00171	0.25	NC_017592.1	1	2036867	8	471	0.0231237	0.000314208	39.4	60
SP00171	0.5	NC_017592.1	1	2036867	12	571	0.0280332	0.000410925	39.5	60
SP00171	1	NC_017592.1	1	2036867	14	680	0.0333846	0.000517952	39.6	60
SP00172	0.025	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00172	0.05	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00172	0.075	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00172	0.125	NC_017592.1	1	2036867	2	83	0.00407489	8.10E-05	39.9	60
SP00172	0.1	NC_017592.1	1	2036867	2	83	0.00407489	8.10E-05	39.9	60
SP00172	0.25	NC_017592.1	1	2036867	4	115	0.00564593	0.000111937	39.9	60
SP00172	0.5	NC_017592.1	1	2036867	6	417	0.0204726	0.000260204	39.2	40
SP00172	1	NC_017592.1	1	2036867	6	417	0.0204726	0.000260204	39.2	40
SP00173	0.025	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00173	0.05	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00173	0.075	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00173	0.125	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00173	0.1	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00173	0.25	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00173	0.5	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00173	1	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00174	0.025	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00174	0.05	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00174	0.075	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00174	0.125	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00174	0.1	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00174	0.25	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00174	0.5	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00174	1	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00175	0.025	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00175	0.05	NC_017592.1	1	2036867	0	0	0	0	0	0
SP00175	0.075	NC_017592.1	1	2036867	0	0	0	0	0	0
